url_id,customer_id,site_id,application,url,active
3698,I-390047,,job1stop,https://reentry.jobs.job1stop.com/,1
3699,I-003180,,job1stop,https://reentry.jobs.job1stop.com/,0
3700,I-003295,DEFAULT,job1stop,https://reentry.jobs.job1stop.com/,1
3701,I-300502,,job1stop,https://reentry.jobs.job1stop.com/,1
3702,I-002955,,job1stop,https://reentry.jobs.job1stop.com/,1
3703,I-390359,,job1stop,https://reentry.jobs.job1stop.com/,1
3704,I-302805,,job1stop,https://reentry.jobs.job1stop.com/,1
3705,I-002897,DEFAULT,job1stop,https://reentry.jobs.job1stop.com/,1
3706,I-390058,,job1stop,https://reentry.jobs.job1stop.com/,1
3707,I-000109,00122,job1stop,https://reentry.jobs.job1stop.com/,1
3708,I-003021,06704,job1stop,https://reentry.jobs.job1stop.com/,1
3709,I-003021,06705,job1stop,https://reentry.jobs.job1stop.com/,1
3710,I-002335,04531,job1stop,https://reentry.jobs.job1stop.com/,1
3711,I-003061,49163,job1stop,https://reentry.jobs.job1stop.com/,1
3712,I-300360,08199,job1stop,https://reentry.jobs.job1stop.com/,1
3713,I-003061,49069,job1stop,"https://reentry.jobs.job1stop.com/	",1
3714,I-003061,07265,job1stop,"https://reentry.jobs.job1stop.com/	",1
3715,I-003061,49181,job1stop,"https://reentry.jobs.job1stop.com/	",1
3716,I-003288,53012,job1stop,https://reentry.jobs.job1stop.com/,1
3717,I-003208,09247,job1stop,https://reentry.jobs.job1stop.com/,1
3718,I-390397,08146,job1stop,"https://reentry.jobs.job1stop.com/	",1
3719,I-003288,53004,job1stop,https://reentry.jobs.job1stop.com/,1
3720,I-003288,53039,job1stop,https://reentry.jobs.job1stop.com/,1
3721,I-390383,DEFAULT,job1stop,https://reentry.jobs.job1stop.com/,1
3722,I-302833,41093,job1stop,https://reentry.jobs.job1stop.com/,1
3723,I-000313,05475,job1stop,https://reentry.jobs.job1stop.com/,1
3724,I-300087,05084,job1stop,https://reentry.jobs.job1stop.com/,1
3725,I-390180,07854,job1stop,https://reentry.jobs.job1stop.com/,1
3726,I-300114,05113,job1stop,https://reentry.jobs.job1stop.com/,1
3727,I-302679,20052,job1stop,https://reentry.jobs.job1stop.com/,1
3728,I-300127,11601,job1stop,https://reentry.jobs.job1stop.com/,1
3729,I-003300,07788,job1stop,https://reentry.jobs.job1stop.com/,1
3730,I-003300,07060,job1stop,https://reentry.jobs.job1stop.com/,1
3731,I-390020,11572,job1stop,https://reentry.jobs.job1stop.com/,1
3732,I-302903,41039,job1stop,https://reentry.jobs.job1stop.com/,1
3733,I-390389,07592,job1stop,https://reentry.jobs.job1stop.com/,1
3734,I-001916,03675,job1stop,https://reentry.jobs.job1stop.com/,1
3735,I-003300,09315,job1stop,https://reentry.jobs.job1stop.com/,1
3736,I-003300,07796,job1stop,https://reentry.jobs.job1stop.com/,1
3737,I-003300,07731,job1stop,https://reentry.jobs.job1stop.com/,1
3738,I-003300,07736,job1stop,https://reentry.jobs.job1stop.com/,1
3739,I-003300,07746,job1stop,https://reentry.jobs.job1stop.com/,1
3740,I-003300,07755,job1stop,https://reentry.jobs.job1stop.com/,1
3741,I-003300,06784,job1stop,https://reentry.jobs.job1stop.com/,1
3742,I-003300,07805,job1stop,https://reentry.jobs.job1stop.com/,1
3743,I-003300,07826,job1stop,https://reentry.jobs.job1stop.com/,1
3744,I-003300,07454,job1stop,https://reentry.jobs.job1stop.com/,1
3745,I-003300,07852,job1stop,https://reentry.jobs.job1stop.com/,1
3746,I-003300,07858,job1stop,https://reentry.jobs.job1stop.com/,1
3747,I-003300,07875,job1stop,https://reentry.jobs.job1stop.com/,1
3748,I-003300,07916,job1stop,https://reentry.jobs.job1stop.com/,1
3749,I-003300,07919,job1stop,https://reentry.jobs.job1stop.com/,1
3750,I-003300,07928,job1stop,https://reentry.jobs.job1stop.com/,1
3751,I-003300,07937,job1stop,https://reentry.jobs.job1stop.com/,1
3752,I-003300,07941,job1stop,https://reentry.jobs.job1stop.com/,1
3753,I-003300,07948,job1stop,https://reentry.jobs.job1stop.com/,1
3754,I-003300,07959,job1stop,https://reentry.jobs.job1stop.com/,1
3755,I-003300,07965,job1stop,https://reentry.jobs.job1stop.com/,1
3756,I-003300,07966,job1stop,https://reentry.jobs.job1stop.com/,1
3757,I-003300,07979,job1stop,https://reentry.jobs.job1stop.com/,1
3758,I-003300,07982,job1stop,https://reentry.jobs.job1stop.com/,1
3759,I-003300,06391,job1stop,https://reentry.jobs.job1stop.com/,1
3760,I-003300,07207,job1stop,https://reentry.jobs.job1stop.com/,1
3761,I-003300,06738,job1stop,https://reentry.jobs.job1stop.com/,1
3762,I-003300,06772,job1stop,https://reentry.jobs.job1stop.com/,1
3763,I-003300,06794,job1stop,https://reentry.jobs.job1stop.com/,1
3764,I-003300,06803,job1stop,https://reentry.jobs.job1stop.com/,1
3765,I-003300,06810,job1stop,https://reentry.jobs.job1stop.com/,1
